    (0.167145,0)     (0.112457,0)    (0.0569618,0)   (0.00097766,0)   (-0.0551745,0)    (-0.111174,0)    (-0.166745,0)    (-0.221592,0)    (-0.275462,0)    (-0.328109,0)    (-0.379286,0)    (-0.428787,0)    (-0.476419,0)    (-0.522004,0)    (-0.565405,0)    (-0.606475,0)    (-0.645139,0)    (-0.681257,0)     (-0.71478,0)    (-0.745647,0)    (-0.773844,0)    (-0.799335,0)      (-0.8221,0)    (-0.842181,0)    (-0.859572,0)    (-0.874303,0)    (-0.886409,0)    (-0.895949,0)    (-0.902969,0)    (-0.907532,0)    (-0.909702,0)    (-0.909544,0)
   (-0.907097,0)    (-0.902433,0)    (-0.895642,0)     (-0.88674,0)    (-0.875801,0)    (-0.862889,0)    (-0.848043,0)    (-0.831326,0)    (-0.812786,0)    (-0.792443,0)    (-0.770358,0)    (-0.746544,0)    (-0.721067,0)    (-0.693922,0)    (-0.665183,0)    (-0.634858,0)    (-0.603004,0)    (-0.569642,0)    (-0.534846,0)    (-0.498653,0)    (-0.461128,0)    (-0.422322,0)    (-0.382297,0)    (-0.341155,0)    (-0.298957,0)    (-0.255847,0)      (-0.2119,0)    (-0.167222,0)    (-0.121954,0)   (-0.0762307,0)    (-0.030225,0)    (0.0159319,0)
   (0.0620702,0)     (0.108014,0)     (0.153581,0)     (0.198612,0)     (0.242912,0)     (0.286286,0)     (0.328573,0)      (0.36957,0)      (0.40907,0)     (0.446929,0)     (0.482959,0)     (0.517004,0)     (0.548914,0)     (0.578562,0)     (0.605832,0)     (0.630597,0)     (0.652795,0)     (0.672352,0)     (0.689219,0)     (0.703367,0)     (0.714802,0)     (0.723545,0)     (0.729644,0)     (0.733152,0)     (0.734171,0)     (0.732809,0)     (0.729218,0)     (0.723526,0)     (0.715946,0)     (0.706641,0)     (0.695824,0)     (0.683711,0)
    (0.670556,0)       (0.6566,0)     (0.642065,0)     (0.627222,0)     (0.612337,0)      (0.59765,0)     (0.583401,0)     (0.569837,0)     (0.557191,0)     (0.545665,0)     (0.535456,0)     (0.526758,0)     (0.519728,0)     (0.514496,0)     (0.511164,0)     (0.509819,0)     (0.510531,0)     (0.513322,0)       (0.5182,0)     (0.525087,0)     (0.533961,0)     (0.544714,0)     (0.557225,0)     (0.571331,0)     (0.586854,0)     (0.603617,0)     (0.621356,0)     (0.639853,0)     (0.658832,0)     (0.678007,0)      (0.69708,0)     (0.715761,0)
    (0.733737,0)     (0.750657,0)     (0.766245,0)     (0.780182,0)     (0.792169,0)     (0.801923,0)     (0.809172,0)     (0.813657,0)     (0.815134,0)     (0.813389,0)     (0.808262,0)     (0.799595,0)     (0.787267,0)     (0.771185,0)     (0.751295,0)     (0.727566,0)     (0.700039,0)     (0.668754,0)     (0.633818,0)     (0.595341,0)     (0.553502,0)     (0.508511,0)     (0.460584,0)     (0.409983,0)     (0.356994,0)      (0.30195,0)      (0.24518,0)     (0.187044,0)     (0.127928,0)    (0.0682033,0)   (0.00827274,0)   (-0.0514237,0)
   (-0.110503,0)    (-0.168552,0)    (-0.225179,0)    (-0.279971,0)    (-0.332552,0)    (-0.382554,0)    (-0.429643,0)    (-0.473469,0)    (-0.513741,0)    (-0.550201,0)    (-0.582595,0)    (-0.610706,0)    (-0.634353,0)     (-0.65339,0)    (-0.667712,0)     (-0.67722,0)    (-0.681905,0)    (-0.681737,0)    (-0.676792,0)    (-0.667084,0)    (-0.652749,0)    (-0.633883,0)    (-0.610669,0)    (-0.583295,0)    (-0.551966,0)    (-0.516918,0)     (-0.47841,0)    (-0.436715,0)     (-0.39213,0)    (-0.344947,0)    (-0.295484,0)    (-0.244066,0)
   (-0.190997,0)    (-0.136628,0)   (-0.0812676,0)   (-0.0252264,0)    (0.0311739,0)    (0.0876356,0)     (0.143873,0)     (0.199602,0)      (0.25454,0)     (0.308471,0)     (0.361162,0)     (0.412373,0)     (0.461899,0)     (0.509578,0)     (0.555268,0)     (0.598817,0)     (0.640091,0)     (0.678996,0)     (0.715435,0)     (0.749338,0)     (0.780628,0)     (0.809301,0)     (0.835315,0)     (0.858647,0)     (0.879276,0)     (0.897204,0)      (0.91244,0)     (0.925013,0)     (0.934917,0)     (0.942191,0)     (0.946859,0)     (0.948941,0)
    (0.948446,0)     (0.945427,0)     (0.939914,0)     (0.931919,0)     (0.921473,0)     (0.908605,0)     (0.893349,0)     (0.875704,0)     (0.855723,0)     (0.833404,0)     (0.808787,0)     (0.781911,0)     (0.752804,0)     (0.721501,0)     (0.688049,0)     (0.652507,0)     (0.614934,0)     (0.575389,0)     (0.533975,0)      (0.49077,0)     (0.445875,0)     (0.399414,0)     (0.351527,0)     (0.302341,0)     (0.252045,0)     (0.200787,0)      (0.14878,0)     (0.096215,0)    (0.0433321,0)  (-0.00963673,0)   (-0.0624554,0)     (-0.11483,0)
   (-0.166517,0)    (-0.217239,0)    (-0.266716,0)    (-0.314656,0)    (-0.360768,0)    (-0.404749,0)    (-0.446305,0)    (-0.485163,0)    (-0.521049,0)    (-0.553695,0)    (-0.582857,0)    (-0.608276,0)    (-0.629748,0)    (-0.647079,0)    (-0.660096,0)    (-0.668653,0)    (-0.672629,0)     (-0.67192,0)    (-0.666492,0)    (-0.656328,0)     (-0.64143,0)    (-0.621828,0)    (-0.597621,0)    (-0.568942,0)    (-0.535916,0)    (-0.498746,0)    (-0.457639,0)    (-0.412879,0)    (-0.364714,0)    (-0.313487,0)    (-0.259526,0)    (-0.203193,0)
   (-0.144861,0)   (-0.0849438,0)   (-0.0238509,0)    (0.0379735,0)     (0.100121,0)     (0.162155,0)      (0.22364,0)     (0.284141,0)     (0.343263,0)     (0.400582,0)      (0.45573,0)      (0.50834,0)     (0.558065,0)     (0.604609,0)      (0.64767,0)     (0.687026,0)     (0.722455,0)     (0.753813,0)     (0.780933,0)      (0.80377,0)     (0.822246,0)     (0.836379,0)     (0.846223,0)     (0.851833,0)     (0.853344,0)     (0.850927,0)     (0.844788,0)     (0.835177,0)     (0.822338,0)     (0.806601,0)     (0.788293,0)     (0.767751,0)
